condition,rep,pass_num,vulns_found,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
A,1,1,8,1,1,1,1,1,1,1,1,0,0
A,1,2,6,1,1,1,1,1,0,1,0,0,0
A,1,3,9,1,1,1,1,1,1,1,1,1,0
B,1,1,6,1,1,0,1,1,0,1,0,1,0
B,1,2,8,1,1,1,1,1,1,1,1,0,0
B,1,3,4,1,1,0,0,0,1,1,0,0,0
C,1,1,2,1,1,0,0,0,0,0,0,0,0
C,1,2,3,1,1,0,1,0,0,0,0,0,0
C,1,3,3,1,1,0,0,0,0,0,1,0,0
D,1,1,6,1,1,0,1,1,1,1,0,0,0
D,1,2,7,1,1,1,1,1,0,1,0,1,0
D,1,3,8,1,1,0,1,1,1,1,1,1,0
A,2,1,8,1,1,1,1,1,1,1,0,1,0
A,2,2,7,1,1,0,1,1,1,1,0,1,0
A,2,3,7,1,1,0,1,1,1,1,0,1,0
B,2,1,5,1,1,0,0,0,1,1,1,0,0
B,2,2,2,1,1,0,0,0,0,0,0,0,0
B,2,3,6,1,1,1,1,1,0,1,0,0,0
C,2,1,2,1,1,0,0,0,0,0,0,0,0
C,2,2,4,1,0,0,1,0,1,1,0,0,0
C,2,3,2,1,1,0,0,0,0,0,0,0,0
D,2,1,6,1,1,1,1,1,0,1,0,0,0
D,2,2,7,1,1,1,1,1,0,1,1,0,0
D,2,3,5,1,1,0,0,0,1,1,1,0,0
A,3,1,8,1,1,1,1,1,1,1,0,1,0
A,3,2,8,1,1,1,1,1,1,1,0,1,0
A,3,3,8,1,1,1,1,1,1,1,0,1,0
B,3,1,2,1,1,0,0,0,0,0,0,0,0
B,3,2,3,1,1,0,0,0,1,0,0,0,0
B,3,3,2,1,1,0,0,0,0,0,0,0,0
C,3,1,0,0,0,0,0,0,0,0,0,0,0
C,3,2,3,1,1,0,0,0,0,0,1,0,0
C,3,3,5,0,1,0,1,1,1,1,0,0,0
D,3,1,8,1,1,1,0,0,1,1,1,1,1
D,3,2,5,1,1,1,1,1,0,0,0,0,0
D,3,3,6,1,1,1,1,1,0,0,1,0,0
